species_or_node,posterior_mean
Sp1.Node292,0.321226202193075
Sp1.Node291,0.320991563748074
Sp1.Node290,0.320874593273252
Sp1.Node289,0.320718207080894
Sp1.Node288,0.320441838554591
Sp1.Node756,0.320341568991356
Sp1.Node294,0.320071000314687
Sp1.Node295,0.320002410551486
Sp1.Salix purpurea,0.319857463063431
Sp1.Salix herbacea,0.319795797132468
Sp1.Salix cinerea,0.319354477543827
Sp1.Salix lanata,0.319160615065309
Sp1.Node287,0.319042363328468
Sp1.Node286,0.318859739033921
Sp1.Bistorta vivipara,0.318682035089411
Sp1.Salix caprea,0.317237960649137
Sp1.Veronica spicata,0.314500673720292
Sp1.Geranium purpureum,0.312139843609296
Sp1.Bistorta officinalis,0.312040288599715
Sp1.Node542,0.310954766215274
Sp1.Geranium robertianum,0.31089875326568
Sp1.Viola tricolor,0.305693161536365
Sp1.Node300,0.303613283007599
Sp1.Node301,0.303359656615575
Sp1.Node799,0.302055242242809
Sp1.Node94,0.301773266643938
Sp1.Node561,0.30127461789082
Sp1.Node800,0.300172156129652
Sp1.Viola lutea,0.298621632337038
Sp1.Node285,0.298493495451505
Sp1.Node731,0.297769693740146
Sp1.Scutellaria galericulata,0.297683535098595
Sp1.Centaurium littorale,0.296246733221364
Sp1.Viola arvensis,0.295451572481327
Sp1.Node302,0.294476567000976
Sp1.Node297,0.293875669443962
Sp1.Node562,0.293162835488524
Sp1.Salix triandra,0.292447489843725
Sp1.Node296,0.291731429147287
Sp1.Node299,0.291352126316431
Sp1.Node563,0.290477375188303
Sp1.Viola kitaibeliana,0.290363894047637
Sp1.Node298,0.290163634528427
Sp1.Node283,0.287461298689756
Sp1.Scutellaria minor,0.286998608849361
Sp1.Alisma plantago-aquatica,0.285897929373153
Sp1.Node491,0.284894457368404
Sp1.Centaurium erythraea,0.282663561005923
Sp1.Node564,0.282092506864859
Sp1.Geum urbanum,0.281756121231872
Sp1.Veronica agrestis,0.280725396852929
Sp1.Alisma lanceolatum,0.280260953945757
Sp1.Node732,0.280026719403245
Sp1.Node139,0.279045656718226
Sp1.Node584,0.278004825976087
Sp1.Viola rupestris,0.277376827673394
Sp1.Viola canina,0.277294695746969
Sp1.Fallopia dumetorum,0.276247126193062
Sp1.Node565,0.275493546792631
Sp1.Geum rivale,0.275227951628163
Sp1.Node305,0.275086668900565
Sp1.Malva neglecta,0.274343088197219
Sp1.Node582,0.274289062068144
Sp1.Malva sylvestris,0.273915779353635
Sp1.Node60,0.273663683037292
Sp1.Node583,0.273547174025645
Sp1.Node1077,0.273034345087298
Sp1.Node1076,0.273025418462013
Sp1.Viola riviniana,0.272600280892879
Sp1.Node61,0.272587038092781
Sp1.Viola reichenbachiana,0.272426414580027
Sp1.Node303,0.27238105921815
Sp1.Node306,0.271509619503385
Sp1.Node540,0.270898883848086
Sp1.Node307,0.270867611642947
Sp1.Viola lactea,0.270678310747063
Sp1.Node1079,0.270382010003076
Sp1.Malva arborea,0.270343302084603
Sp1.Node304,0.270312455618908
