Stace_4_Species,Plantlist,taxon name,Ploidy,Chromosome_number,Base,AnnPer,ddb id,qualifier,authority,vernacular,accepted name,accepted authority,accepted entity id,verification,taxonContext,canonical,brcConcept,tvk,rank,hybrid,bsbiStatus,Atlas 2000 status,genus,family,childtaxa,childtaxaauth,GB status,IE status,CI status,url,
Nardus stricta,Nardus stricta,Nardus stricta,2,26,13,P,2cd4p9h.ytd,,L.,Mat-grass,,,,confirmed,b,Nardus stricta,Vas_1344,NBNSYS0000002676,species,,N,N,Nardus,Poaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ytd&class=TaxonInstance,
Narthecium ossifragum,Narthecium ossifragum,Narthecium ossifragum,2,26,13,P,2cd4p9h.90z,,(L.) Huds.,Bog Asphodel,,,,confirmed,b,Narthecium ossifragum,Vas_1345,NHMSYS0000460927,species,,N,N,Narthecium,Nartheciaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.90z&class=TaxonInstance,
Nasturtium microphyllum,Nasturtium microphyllum,Nasturtium microphyllum,4,64,16,P,2cd4p9h.7mm3gg,,(Boenn.) Rchb.,,,,,unchecked,b,Nasturtium microphyllum,Vas_1346,NHMSYS0000460932,species,,,,Nasturtium,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.7mm3gg&class=TaxonInstance,
Nasturtium officinale,Nasturtium officinale,Nasturtium officinale,2,32,16,P,2cd4p9h.6y9gqa,s.s.,W.T.Aiton,,,,,unchecked,b,Nasturtium officinale,Vas_1347,NHMSYS0000460933,species,,,,Nasturtium,Brassicaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.6y9gqa&class=TaxonInstance,
Neotinea maculata,Neotinea maculata,Neotinea maculata,,,,P,2cd4p9h.vyf,,(Desf.) Stearn,Dense-flowered Orchid,,,,unchecked,b,Neotinea maculata,Vas_1351,NBNSYS0000002314,species,,N,N,Neotinea,Orchidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.vyf&class=TaxonInstance,
Neotinea ustulata,Neotinea ustulata,Neotinea ustulata,,,,P,2cd4p9h.5nhgyp,,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",Burnt Orchid,,,,unchecked,b,Neotinea ustulata,Vas_1392,NHMSYS0000460957,species,,,,Neotinea,Orchidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.5nhgyp&class=TaxonInstance,
Neottia nidus-avis,Neottia nidus-avis,Neottia nidus-avis,,,,P,2cd4p9h.91b,,(L.) Rich.,Bird's-nest Orchid,,,,unchecked,b,Neottia nidus-avis,Vas_1352,NBNSYS0000002301,species,,N,N,Neottia,Orchidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.91b&class=TaxonInstance,
Nepeta cataria,Nepeta cataria,Nepeta cataria,4,36,9,P,2cd4p9h.cae,,L.,Cat-mint,,,,unchecked,b,Nepeta cataria,Vas_1353,NBNSYS0000004256,species,,N,Ar,Nepeta,Lamiaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.cae&class=TaxonInstance,
Noccaea caerulescens,Thlaspi caerulescens,Noccaea caerulescens,2,14,7,P,2cd4p9h.6yde2p,,(J.Presl & C.Presl) F.K.Mey.,Alpine Penny-cress,,,,unchecked,b,Noccaea caerulescens,Vas_2057,NHMSYS0000461068,species,,,,Noccaea,Brassicaceae,Noccaea caerulescens subsp. calaminaris;Noccaea caerulescens subsp. sylvestris,Noccaea caerulescens subsp. calaminaris (Lej.) Holub;Noccaea caerulescens subsp. sylvestris (Jord.) F.K.Mey.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.6yde2p&class=TaxonInstance,
Nuphar lutea,Nuphar lutea,Nuphar lutea,2,34,17,P,2cd4p9h.vyv,,(L.) Sm.,Yellow Water-lily,,,,confirmed,b,Nuphar lutea,Vas_1356,NHMSYS0000461107,species,,N,N,Nuphar,Nymphaeaceae,,,native,native,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.vyv&class=TaxonInstance,
Nuphar pumila,Nuphar pumila,Nuphar pumila,2,34,17,P,2cd4p9h.1hr,,(Timm) DC.,Least Water-lily,,,,confirmed,b,Nuphar pumila,Vas_1357,NBNSYS0000002759,species,,N,N,Nuphar,Nymphaeaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.1hr&class=TaxonInstance,
Nymphaea alba,Nymphaea alba,Nymphaea alba,6,84,14,P,2cd4p9h.vyy,,L.,White Water-lily,,,,confirmed,b,Nymphaea alba,Vas_1358,NBNSYS0000002757,species,,N,N,Nymphaea,Nymphaeaceae,Nymphaea alba subsp. alba;Nymphaea alba subsp. occidentalis;Nymphaea alba cv.,Nymphaea alba subsp. alba L.;Nymphaea alba subsp. occidentalis (Ostenf.) Hyl.;Nymphaea alba cv.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.vyy&class=TaxonInstance,
Nymphoides peltata,Nymphoides peltata,Nymphoides peltata,,,,P,2cd4p9h.vp2,,Kuntze,Fringed Water-lily,,,,unchecked,b,Nymphoides peltata,Vas_1360,NBNSYS0000003977,species,,N,N,Nymphoides,Menyanthaceae,Nymphoides peltata morph. pin;Nymphoides peltata morph. thrum,Nymphoides peltata morph. pin;Nymphoides peltata morph. thrum,native,alien,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.vp2&class=TaxonInstance,
Odontites vernus,Odontites vernus,Odontites vernus,,,,A,2cd4p9h.5fa,,(Bellardi) Dumort.,Red Bartsia,,,,unchecked,b,Odontites vernus,Vas_1361,NBNSYS0000004164,species,,N,N,Odontites,Orobanchaceae,Odontites vernus subsp. vernus;Odontites vernus subsp. serotinus;Odontites vernus subsp. litoralis,Odontites vernus subsp. vernus (Bellardi) Dumort.;Odontites vernus subsp. serotinus (Syme) Corb.;Odontites vernus subsp. litoralis (Fr.) Nyman,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.5fa&class=TaxonInstance,
Oenanthe aquatica,Oenanthe aquatica,Oenanthe aquatica,2,22,11,A,2cd4p9h.ytw,,(L.) Poir.,Fine-leaved Water-dropwort,,,,unchecked,b,Oenanthe aquatica,Vas_1362,NHMSYS0000461142,species,,N,N,Oenanthe,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ytw&class=TaxonInstance,
Oenanthe crocata,Oenanthe crocata,Oenanthe crocata,2,22,11,P,2cd4p9h.ytm,,L.,Hemlock Water-dropwort,,,,unchecked,b,Oenanthe crocata,Vas_1363,NBNSYS0000003693,species,,N,N,Oenanthe,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ytm&class=TaxonInstance,
Oenanthe fistulosa,Oenanthe fistulosa,Oenanthe fistulosa,2,22,11,P,2cd4p9h.xrf,,L.,Tubular Water-dropwort,,,,unchecked,b,Oenanthe fistulosa,Vas_1364,NBNSYS0000003689,species,,N,N,Oenanthe,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xrf&class=TaxonInstance,
Oenanthe fluviatilis,Oenanthe fluviatilis,Oenanthe fluviatilis,2,22,11,P,2cd4p9h.xrv,,(Bab.) Coleman,River Water-dropwort,,,,unchecked,b,Oenanthe fluviatilis,Vas_1365,NBNSYS0000003695,species,,N,N,Oenanthe,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xrv&class=TaxonInstance,
Oenanthe lachenalii,Oenanthe lachenalii,Oenanthe lachenalii,2,22,11,P,2cd4p9h.ytp,,C.C.Gmel.,Parsley Water-dropwort,,,,unchecked,b,Oenanthe lachenalii,Vas_1366,NHMSYS0000461143,species,,N,N,Oenanthe,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ytp&class=TaxonInstance,
Oenanthe pimpinelloides,Oenanthe pimpinelloides,Oenanthe pimpinelloides,2,22,11,P,2cd4p9h.can,,L.,Corky-fruited Water-dropwort,,,,unchecked,b,Oenanthe pimpinelloides,Vas_1367,NBNSYS0000003690,species,,N,N,Oenanthe,Apiaceae,,,native,alien,native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.can&class=TaxonInstance,
Oenanthe silaifolia,Oenanthe silaifolia,Oenanthe silaifolia,2,22,11,P,2cd4p9h.1vb,,M.Bieb.,Narrow-leaved Water-dropwort,,,,unchecked,b,Oenanthe silaifolia,Vas_1368,NHMSYS0000461144,species,,N,N,Oenanthe,Apiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.1vb&class=TaxonInstance,
Onobrychis viciifolia,Onobrychis viciifolia,Onobrychis viciifolia,4,28,7,P,2cd4p9h.fhp,,Scop.,Sainfoin,,,,confirmed,b,Onobrychis viciifolia,Vas_1375,NBNSYS0000003279,species,,N,?N,Onobrychis,Fabaceae,Onobrychis viciifolia subsp. collina;Onobrychis viciifolia subsp. decumbens;Onobrychis viciifolia subsp. viciifolia,Onobrychis viciifolia subsp. collina (Jord.) P.D.Sell;Onobrychis viciifolia subsp. decumbens (Jord.) P.D.Sell;Onobrychis viciifolia subsp. viciifolia Scop.,native,alien,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.fhp&class=TaxonInstance,
Ononis reclinata,Ononis reclinata,Ononis reclinata,4,60,15,A,2cd4p9h.vp8,,L.,Small Restharrow,,,,confirmed,b,Ononis reclinata,Vas_1376,NBNSYS0000003218,species,,N,N,Ononis,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.vp8&class=TaxonInstance,
Ononis repens,Ononis spinosa,Ononis repens,,,,P,2cd4p9h.vpb,,L.,Common Restharrow,,,,confirmed,b,Ononis repens,Vas_1377,NBNSYS0000003215,species,,N,N,Ononis,Fabaceae,Ononis repens subsp. repens;Ononis repens var. horrida;Ononis repens subsp. maritima,Ononis repens subsp. repens L.;Ononis repens var. horrida;Ononis repens subsp. maritima (Dumort.) Asch. & Graebn.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.vpb&class=TaxonInstance,
Ononis spinosa,Ononis spinosa,Ononis spinosa,,,,P,2cd4p9h.xry,,L.,Spiny Restharrow,,,,confirmed,b,Ononis spinosa,Vas_1378,NBNSYS0000003217,species,,N,N,Ononis,Fabaceae,Ononis spinosa subsp. spinosa,Ononis spinosa subsp. spinosa L.,native,alien,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xry&class=TaxonInstance,
Onopordum acanthium,Onopordum acanthium,Onopordum acanthium,2,34,17,P,2cd4p9h.fhs,,L.,Cotton Thistle,,,,unchecked,b,Onopordum acanthium,Vas_1379,NBNSYS0000004499,species,,N,Ar,Onopordum,Asteraceae,Onopordum acanthium subsp. acanthium,Onopordum acanthium subsp. acanthium L.,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.fhs&class=TaxonInstance,
Ophioglossum azoricum,Ophioglossum azoricum,Ophioglossum azoricum,,,,P,2cd4p9h.es9,,C.Presl,Small Adder's-tongue,,,,confirmed,b,Ophioglossum azoricum,Vas_1381.1,NHMSYS0000461283,species,,N,N,Ophioglossum,Ophioglossaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.es9&class=TaxonInstance,
Ophioglossum lusitanicum,Ophioglossum lusitanicum,Ophioglossum lusitanicum,,,,P,2cd4p9h.882,,L.,Least Adder's-tongue,,,,confirmed,b,Ophioglossum lusitanicum,Vas_1380,NBNSYS0000002098,species,,N,N,Ophioglossum,Ophioglossaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.882&class=TaxonInstance,
Ophioglossum vulgatum,Ophioglossum vulgatum,Ophioglossum vulgatum,,,,P,2cd4p9h.y9x,,L.,Adder's-tongue,,,,confirmed,b,Ophioglossum vulgatum,Vas_1381.2,NBNSYS0000002097,species,,N,N,Ophioglossum,Ophioglossaceae,Ophioglossum vulgatum subsp. vulgatum,Ophioglossum vulgatum subsp. vulgatum L.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.y9x&class=TaxonInstance,
Ophrys apifera,Ophrys apifera,Ophrys apifera,2,36,18,P,2cd4p9h.5fd,,Huds.,Bee Orchid,,,,confirmed,b,Ophrys apifera,Vas_1382,NHMSYS0000461294,species,,N,N,Ophrys,Orchidaceae,Ophrys apifera subsp. apifera;Ophrys apifera var. friburgensis;Ophrys apifera var. apifera;Ophrys apifera var. trollii;Ophrys apifera var. belgarum;Ophrys apifera var. chlorantha,Ophrys apifera subsp. apifera Huds.;Ophrys apifera var. friburgensis Freyh.;Ophrys apifera var. apifera Huds.;Ophrys apifera var. trollii (Hegetschw.) Rchb.f.;Ophrys apifera var. belgarum Turner Ettl.;Ophrys apifera var. chlorantha (Hegetschw.) Nyman,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.5fd&class=TaxonInstance,
Ophrys fuciflora,Ophrys fuciflora,Ophrys fuciflora,2,36,18,P,2cd4p9h.91k,,(Crantz) Moench,Late Spider-orchid,,,,confirmed,b,Ophrys fuciflora,Vas_1383,NBNSYS0000002316,species,,N,N,Ophrys,Orchidaceae,Ophrys fuciflora subsp. fuciflora,Ophrys fuciflora subsp. fuciflora (Crantz) Moench,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.91k&class=TaxonInstance,
Ophrys insectifera,Ophrys insectifera,Ophrys insectifera,2,36,18,P,2cd4p9h.1vn,,L.,Fly Orchid,,,,confirmed,b,Ophrys insectifera,Vas_1384,NBNSYS0000002318,species,,N,N,Ophrys,Orchidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.1vn&class=TaxonInstance,
Ophrys sphegodes,Ophrys sphegodes,Ophrys sphegodes,2,36,18,P,2cd4p9h.vpe,,Mill.,Early Spider-orchid,,,,confirmed,b,Ophrys sphegodes,Vas_1385,NHMSYS0000461300,species,,N,N,Ophrys,Orchidaceae,Ophrys sphegodes subsp. sphegodes,Ophrys sphegodes subsp. sphegodes Mill.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.vpe&class=TaxonInstance,
Orchis anthropophora,Orchis anthropophora,Orchis anthropophora,2,42,21,P,2cd4p9h.5k7h6t,,(L.) All.,Man Orchid,,,,confirmed,b,Orchis anthropophora,Vas_6,NHMSYS0000461315,species,,,,Orchis,Orchidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.5k7h6t&class=TaxonInstance,
Orchis mascula,Orchis mascula,Orchis mascula,2,42,21,P,2cd4p9h.caq,,(L.) L.,Early-purple Orchid,,,,unchecked,b,Orchis mascula,Vas_1387,NBNSYS0000002326,species,,N,N,Orchis,Orchidaceae,Orchis mascula subsp. mascula,Orchis mascula subsp. mascula (L.) L.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.caq&class=TaxonInstance,
Orchis militaris,Orchis militaris,Orchis militaris,2,42,21,P,2cd4p9h.r3z,,L.,Military Orchid,,,,confirmed,b,Orchis militaris,Vas_1388,NBNSYS0000002321,species,,N,N,Orchis,Orchidaceae,Orchis militaris var. militaris;Orchis militaris var. tenuifrons,Orchis militaris var. militaris L.;Orchis militaris var. tenuifrons P.D.Sell,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.r3z&class=TaxonInstance,
Orchis purpurea,Orchis purpurea,Orchis purpurea,2,42,21,P,2cd4p9h.y3v,,Huds.,Lady Orchid,,,,confirmed,b,Orchis purpurea,Vas_1390,NHMSYS0000461332,species,,N,N,Orchis,Orchidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.y3v&class=TaxonInstance,
Orchis simia,Orchis simia,Orchis simia,2,42,21,P,2cd4p9h.fv0,,Lam.,Monkey Orchid,,,,confirmed,b,Orchis simia,Vas_1391,NBNSYS0000002322,species,,N,N,Orchis,Orchidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.fv0&class=TaxonInstance,
Oreopteris limbosperma,Oreopteris limbosperma,Oreopteris limbosperma,,,,P,2cd4p9h.ya2,,(All.) Holub,Lemon-scented Fern,,,,confirmed,b,Oreopteris limbosperma,Vas_2051,NHMSYS0000461356,species,,N,N,Oreopteris,Thelypteridaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ya2&class=TaxonInstance,
Origanum vulgare,Origanum vulgare,Origanum vulgare,2,30,15,P,2cd4p9h.fv6,,L.,Wild Marjoram,,,,unchecked,b,Origanum vulgare,Vas_1393,NBNSYS0000004207,species,,N,N,Origanum,Lamiaceae,Origanum vulgare subsp. hirtum;Origanum vulgare subsp. viride;Origanum vulgare subsp. vulgare;Origanum vulgare subsp. virens;Origanum vulgare 'Aureum',Origanum vulgare subsp. hirtum (Link) Ietsw.;Origanum vulgare subsp. viride (Boiss.) Hayek;Origanum vulgare subsp. vulgare L.;Origanum vulgare subsp. virens (Hoffmanns. & Link) Ietsw.;Origanum vulgare 'Aureum',native,native,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.fv6&class=TaxonInstance,
Ornithogalum pyrenaicum,Ornithogalum pyrenaicum,Ornithogalum pyrenaicum,,,,P,2cd4p9h.fv9,,L.,Spiked Star-of-Bethlehem,,,,confirmed,b,Ornithogalum pyrenaicum,Vas_1395,NBNSYS0000002181,species,,N,N,Ornithogalum,Asparagaceae,,,native,alien,native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.fv9&class=TaxonInstance,
Ornithopus perpusillus,Ornithopus perpusillus,Ornithopus perpusillus,,,,A,2cd4p9h.91t,,L.,Bird's-foot,,,,confirmed,b,Ornithopus perpusillus,Vas_1397,NBNSYS0000003274,species,,N,N,Ornithopus,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.91t&class=TaxonInstance,
Ornithopus pinnatus,Ornithopus pinnatus,Ornithopus pinnatus,,,,A,2cd4p9h.cb1,,(Mill.) Druce,Orange Bird's-foot,,,,confirmed,b,Ornithopus pinnatus,Vas_1398,NHMSYS0000461372,species,,N,N,Ornithopus,Fabaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.cb1&class=TaxonInstance,
Orobanche alba,Orobanche alba,Orobanche alba,2,38,19,A,2cd4p9h.921,,Stephan ex Willd.,Thyme Broomrape,,,,unchecked,b,Orobanche alba,Vas_1399,NBNSYS0000004174,species,,N,N,Orobanche,Orobanchaceae,Orobanche alba var. rubra,Orobanche alba var. rubra (Sm.),native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.921&class=TaxonInstance,
Orobanche artemisiae-campestris,Orobanche artemisiae-campestris,Orobanche artemisiae-campestris,,,,A,2cd4p9h.7mxskg,,auct. non Vaucher ex Gaudin,,Orobanche picridis,F.W.Schultz,2cd4p9h.1vt,unchecked,b,Orobanche artemisiae-campestris,Vas_1405,,species,,,,Orobanche,Orobanchaceae,,,native (inferred),native (inferred),native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.7mxskg&class=TaxonInstance,
Orobanche caryophyllacea,Orobanche caryophyllacea,Orobanche caryophyllacea,2,38,19,P,2cd4p9h.924,,Sm.,Bedstraw Broomrape,,,,unchecked,b,Orobanche caryophyllacea,Vas_1400,NHMSYS0000461377,species,,N,N,Orobanche,Orobanchaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.924&class=TaxonInstance,
Orobanche elatior,Orobanche elatior,Orobanche elatior,2,38,19,P,2cd4p9h.927,,Sutton,Knapweed Broomrape,,,,unchecked,b,Orobanche elatior,Vas_1401,NBNSYS0000004176,species,,N,N,Orobanche,Orobanchaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.927&class=TaxonInstance,
Orobanche hederae,Orobanche hederae,Orobanche hederae,2,38,19,P,2cd4p9h.fvc,,Duby,Ivy Broomrape,,,,unchecked,b,Orobanche hederae,Vas_1402,NBNSYS0000004180,species,,N,N,Orobanche,Orobanchaceae,Orobanche hederae f. monochroa,Orobanche hederae f. monochroa Beck,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.fvc&class=TaxonInstance,
Orobanche minor,Orobanche minor,Orobanche minor,2,38,19,A,2cd4p9h.cb4,,Sm.,Common Broomrape,,,,unchecked,b,Orobanche minor,Vas_1404,NHMSYS0000461381,species,,N,N,Orobanche,Orobanchaceae,Orobanche minor subsp. maritima;Orobanche minor subsp. minor,Orobanche minor subsp. maritima (Pugsley) Rumsey;Orobanche minor subsp. minor Sm.,native,alien,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.cb4&class=TaxonInstance,
Orobanche picridis,Orobanche artemisiae-campestris,Orobanche picridis,,,,A,2cd4p9h.1vt,,F.W.Schultz,Oxtongue Broomrape,,,,unchecked,b,Orobanche picridis,Vas_1405,NHMSYS0000461383,species,,N,N,Orobanche,Orobanchaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.1vt&class=TaxonInstance,
Phelipanche purpurea,Orobanche purpurea,Orobanche purpurea,2,24,19,P,2cd4p9h.vpk,,Jacq.,Yarrow Broomrape,,,,unchecked,b,Orobanche purpurea,Vas_1406,NBNSYS0000004172,species,,N,N,Orobanche,Orobanchaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.vpk&class=TaxonInstance,
Orobanche rapum-genistae,Orobanche rapum-genistae,Orobanche rapum-genistae,2,38,19,P,2cd4p9h.xs2,,Thuill.,Greater Broomrape,,,,unchecked,b,Orobanche rapum-genistae,Vas_1408,NBNSYS0000004173,species,,N,N,Orobanche,Orobanchaceae,Orobanche rapum-genistae f. flavescens;Orobanche rapum-genistae f. rapum-genistae,Orobanche rapum-genistae f. flavescens Durand;Orobanche rapum-genistae f. rapum-genistae Thuill.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xs2&class=TaxonInstance,
Orobanche reticulata,Orobanche reticulata,Orobanche reticulata,2,38,19,B,2cd4p9h.xs5,,Wallr.,Thistle Broomrape,,,,unchecked,b,Orobanche reticulata,Vas_1409,NBNSYS0000004177,species,,N,N,Orobanche,Orobanchaceae,Orobanche reticulata subsp. pallidiflora,Orobanche reticulata subsp. pallidiflora (Wimmer & Grab.) Hayek,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xs5&class=TaxonInstance,
Orthilia secunda,Orthilia secunda,Orthilia secunda,,,,P,2cd4p9h.1w4,,(L.) House,Serrated Wintergreen,,,,unchecked,b,Orthilia secunda,Vas_1410,NBNSYS0000004595,species,,N,N,Orthilia,Ericaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.1w4&class=TaxonInstance,
Osmunda regalis,Osmunda regalis,Osmunda regalis,,,,P,2cd4p9h.v4b,,L.,Royal Fern,,,,confirmed,b,Osmunda regalis,Vas_1411,NBNSYS0000002027,species,,N,N,Osmunda,Osmundaceae,Osmunda regalis 'Purpurascens',Osmunda regalis 'Purpurascens',native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.v4b&class=TaxonInstance,
Oxalis acetosella,Oxalis acetosella,Oxalis acetosella,2,22,11,P,2cd4p9h.cba,,L.,Wood-sorrel,,,,unchecked,b,Oxalis acetosella,Vas_1413,NBNSYS0000003175,species,,N,N,Oxalis,Oxalidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.cba&class=TaxonInstance,
Oxyria digyna,Oxyria digyna,Oxyria digyna,,,,P,2cd4p9h.xse,,(L.) Hill,Mountain Sorrel,,,,unchecked,b,Oxyria digyna,Vas_1420,NBNSYS0000003772,species,,N,N,Oxyria,Polygonaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xse&class=TaxonInstance,
Oxytropis campestris,Oxytropis campestris,Oxytropis campestris,,,,P,2cd4p9h.5fm,,(L.) DC.,Yellow Oxytropis,,,,confirmed,b,Oxytropis campestris,Vas_1421,NBNSYS0000003273,species,,N,N,Oxytropis,Fabaceae,Oxytropis campestris var. kintyrica;Oxytropis campestris var. perthensis;Oxytropis campestris var. scotica,Oxytropis campestris var. kintyrica P.D.Sell;Oxytropis campestris var. perthensis P.D.Sell;Oxytropis campestris var. scotica (Jalas) P.D.Sell,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.5fm&class=TaxonInstance,
Oxytropis halleri,Oxytropis halleri,Oxytropis halleri,,,,P,2cd4p9h.xsh,,Bunge ex W.D.J.Koch,Purple Oxytropis,,,,confirmed,b,Oxytropis halleri,Vas_1422,NHMSYS0000461437,species,,N,N,Oxytropis,Fabaceae,Oxytropis halleri var. grata;Oxytropis halleri var. halleri,Oxytropis halleri var. grata P.D.Sell;Oxytropis halleri var. halleri Bunge ex W.D.J.Koch,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.xsh&class=TaxonInstance,
Roemeria argemone,Roemeria argemone,Papaver argemone,,,,A,2cd4p9h.cbw,,L.,Prickly Poppy,,,,confirmed,b,Papaver argemone,Vas_1424,NBNSYS0000002768,species,,N,Ar,Papaver,Papaveraceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.cbw&class=TaxonInstance,
Papaver dubium,Papaver dubium,Papaver dubium,4,28,7,A,2cd4p9h.851n9z,s.l.,,,,,,unchecked,b,Papaver dubium,,,species,,,,Papaver,Papaveraceae,Papaver dubium s.s.;Papaver lecoqii,Papaver dubium L. s.s.;Papaver lecoqii Lamotte,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.851n9z&class=TaxonInstance,
Roemeria hispida,Roemeria hispida,Papaver hybridum,,,,A,2cd4p9h.yz9,,L.,Rough Poppy,,,,confirmed,b,Papaver hybridum,Vas_1427,NBNSYS0000002767,species,,N,Ar,Papaver,Papaveraceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.yz9&class=TaxonInstance,
Papaver lecoqii,Papaver dubium,Papaver lecoqii,4,28,7,A,2cd4p9h.6y7526,,Lamotte,,,,,confirmed,b,Papaver lecoqii,Vas_1429,NBNSYS0000153184,species,,,,Papaver,Papaveraceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.6y7526&class=TaxonInstance,
Papaver rhoeas,Papaver rhoeas,Papaver rhoeas,2,14,7,A,2cd4p9h.yzc,,L.,Common Poppy,,,,confirmed,b,Papaver rhoeas,Vas_1430,NBNSYS0000002764,species,,N,Ar,Papaver,Papaveraceae,Papaver rhoeas var. wilkesii;Papaver rhoeas var. rhoeas;Papaver rhoeas f. strigosum;Papaver rhoeas white form;Papaver rhoeas 'Shirley Poppy';Papaver rhoeas var. hoffmannianum;Papaver rhoeas var. chelionioides;Papaver rhoeas var. pryorii;Papaver rhoeas 'Angels Choir';Papaver rhoeas 'Mother of Pearl';Papaver rhoeas 'Fairy Wings',Papaver rhoeas var. wilkesii Druce;Papaver rhoeas var. rhoeas L.;Papaver rhoeas f. strigosum Boenn.;Papaver rhoeas white form;Papaver rhoeas 'Shirley Poppy';Papaver rhoeas var. hoffmannianum Kuntze;Papaver rhoeas var. chelionioides;Papaver rhoeas var. pryorii Druce;Papaver rhoeas 'Angels Choir';Papaver rhoeas 'Mother of Pearl';Papaver rhoeas 'Fairy Wings',archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.yzc&class=TaxonInstance,
