Stace_4_Species,Plantlist,taxon name,Ploidy,Chromosome_number,Base,AnnPer,ddb id,qualifier,authority,vernacular,accepted name,accepted authority,accepted entity id,verification,taxonContext,canonical,brcConcept,tvk,rank,hybrid,bsbiStatus,Atlas 2000 status,genus,family,childtaxa,childtaxaauth,GB status,IE status,CI status,url,
Centaurium littorale,Centaurium littorale,Centaurium littorale,4,40,10,B,2cd4p9h.yr,,(Turner ex Sm.) Gilmour,Seaside Centaury,,,,unchecked,b,Centaurium littorale,Vas_450,NBNSYS0000003965,species,,N,N,Centaurium,Gentianaceae,Centaurium littorale var. baileyi;Centaurium littorale var. littorale;Centaurium littorale var. occidentale;Centaurium littorale var. turneri,Centaurium littorale var. baileyi (Wheldon & C.E.Salmon) Gilmour;Centaurium littorale var. littorale (Turner ex Sm.) Gilmour;Centaurium littorale var. occidentale (Wheldon & C.E.Salmon) Gilmour;Centaurium littorale var. turneri (Wheldon & C.E.Salmon) Ubsdell,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.yr&class=TaxonInstance,
Centaurium pulchellum,Centaurium pulchellum,Centaurium pulchellum,4,36,9,A,2cd4p9h.vba,,(Sw.) Druce,Lesser Centaury,,,,unchecked,b,Centaurium pulchellum,Vas_453,NBNSYS0000003958,species,,N,N,Centaurium,Gentianaceae,Centaurium pulchellum var. pulchellum;Centaurium pulchellum var. ramosissima;Centaurium pulchellum var. intermedium,Centaurium pulchellum var. pulchellum (Sw.) Druce;Centaurium pulchellum var. ramosissima (Vill.) Gilmour;Centaurium pulchellum var. intermedium (Mérat) Gilmour,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.vba&class=TaxonInstance,
Centaurium portense,Centaurium maritimum,Centaurium scilloides,,,,P,2cd4p9h.bqb,,(L.f.) Samp.,Perennial Centaury,,,,unchecked,b,Centaurium scilloides,Vas_452,NHMSYS0000457036,species,,N,N,Centaurium,Gentianaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.bqb&class=TaxonInstance,
Centaurium tenuiflorum,Centaurium tenuiflorum,Centaurium tenuiflorum,,,,A,2cd4p9h.4d1,,(Hoffmanns. & Link) Fritsch,Slender Centaury,,,,unchecked,b,Centaurium tenuiflorum,Vas_454,NHMSYS0000457037,species,,N,N,Centaurium,Gentianaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4d1&class=TaxonInstance,
Cephalanthera damasonium,Cephalanthera damasonium,Cephalanthera damasonium,,,,P,2cd4p9h.ygt,,(Mill.) Druce,White Helleborine,,,,confirmed,b,Cephalanthera damasonium,Vas_457,NHMSYS0000457045,species,,N,N,Cephalanthera,Orchidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ygt&class=TaxonInstance,
Cephalanthera longifolia,Cephalanthera longifolia,Cephalanthera longifolia,,,,P,2cd4p9h.bqe,,(L.) Fritsch,Narrow-leaved Helleborine,,,,confirmed,b,Cephalanthera longifolia,Vas_458,NBNSYS0000002286,species,,N,N,Cephalanthera,Orchidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.bqe&class=TaxonInstance,
Cephalanthera rubra,Cephalanthera rubra,Cephalanthera rubra,,,,P,2cd4p9h.8g9,,(L.) Rich.,Red Helleborine,,,,confirmed,b,Cephalanthera rubra,Vas_459,NHMSYS0000457046,species,,N,N,Cephalanthera,Orchidaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.8g9&class=TaxonInstance,
Cerastium alpinum,Cerastium alpinum,Cerastium alpinum,8,72,9,P,2cd4p9h.bqh,,L.,Alpine Mouse-ear,,,,unchecked,b,Cerastium alpinum,Vas_460,NBNSYS0000003019,species,,N,N,Cerastium,Caryophyllaceae,Cerastium alpinum subsp. lanatum,Cerastium alpinum subsp. lanatum (Lam.) Ces.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.bqh&class=TaxonInstance,
Cerastium arvense,Cerastium arvense,Cerastium arvense,8,72,9,P,2cd4p9h.f4k,,L.,Field Mouse-ear,,,,unchecked,b,Cerastium arvense,Vas_461,NBNSYS0000003017,species,,N,N,Cerastium,Caryophyllaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f4k&class=TaxonInstance,
Cerastium cerastoides,Cerastium cerastoides,Cerastium cerastoides,2,38,18,P,2cd4p9h.4tr,,(L.) Britton,Starwort Mouse-ear,,,,unchecked,b,Cerastium cerastoides,Vas_464,NBNSYS0000003016,species,,N,N,Cerastium,Caryophyllaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4tr&class=TaxonInstance,
